user,date,text,latitude,longitude;;
RhiRhiPalmer,Sat Aug 10 17:59:00 +0000 2019,b'#westend @ Brasserie Z?del https://t.co/4M8WzSWSCv',51.51058029,-0.13581443;;
Elias_Jahshan,Sat Aug 10 17:57:48 +0000 2019,b'?I will never forget Palestine.? \n.\nThanks amro.tabari for the t-shirt! And for @AEvansMusic for the superior camer? https://t.co/Ek9I4DAe8O',51.50711486,-0.12731805;;
lou0305,Sat Aug 10 17:55:38 +0000 2019,b'?#princecharlescinema #westend @ Chinatown London https://t.co/Nl06N6L4fj',51.51157,-0.13165;;
serapiao_sfc,Sat Aug 10 16:58:47 +0000 2019,b'Forro London festival  2015\n\n#chicocesar #forrolondon #forrostore #FORROLONDONFESTIVAL #love #dancepartner @ London? https://t.co/gdK6O9WM8v',51.50711486,-0.12731805;;
devdutoit,Sat Aug 10 16:54:55 +0000 2019,b'Jubilee Gardens #southbank @ London Eye https://t.co/TaGzLHSEUI',51.5028201,-0.1192523;;
"tmj_lon_finance,Sat Aug 10 16:54:27 +0000 2019,""b'Can you recommend anyone for this #Finance job in London, England, United Kingdom? Click the link in our bio to see? https://t.co/XwTmlR0AYM'"",51.5073509,-0.1277583";;
"SteveMaxwellSC,Sat Aug 10 16:53:30 +0000 2019,""b'an afternoon w @anandahuja &amp";" lovely @sonamakapoor @stevemaxwellsc @ London, United Kingdom https://t.co/hsxnx6C9hx'"",51.50711486,-0.12731805";
"BenHopper,Sat Aug 10 16:52:56 +0000 2019,""b'Each day, re-member and re-mind to love yourself again.\nAnne-Florence?Neveu for Natural Beauty (2017). @ London, Un? https://t.co/oHxlESNhv5'"",51.50711486,-0.12731805";;
tcn90,Sat Aug 10 16:52:08 +0000 2019,b'Yesterday over London...Back home from one of the loveliest two weeks away #London #londonfromtheair #thames? https://t.co/cHuBD0hwh3',51.50711486,-0.12731805;;
serapiao_sfc,Sat Aug 10 16:49:57 +0000 2019,b'London summer \n\n#forro #london #forrolondon #love #london #FORROLONDONFESTIVAL #brazilcultural #forrostore @ London? https://t.co/hktokbwD1b',51.50711486,-0.12731805;;
luvi_ama,Sat Aug 10 16:49:21 +0000 2019,b'My instincts tell me to keep breathing\n#reading\n#questioning\n#exploring\n#knowing\n#believing\n#holdmyown\n#insideout\nI? https://t.co/n0UqKXNjRw',51.50711486,-0.12731805;;
"bhishal,Sat Aug 10 16:47:18 +0000 2019,""b'Andy Ruiz vs Anthony Joshua 2 Rematch on 7th December 2019 at Diriyah, Saudi Arabia.\n\nWho do you think wins Ruiz or? https://t.co/9O2YPuxTVI'"",51.50711486,-0.12731805";;
"EvieBraithwaite,Sat Aug 10 16:45:05 +0000 2019,""b'Short but sweet (windy) couple of days wandering around London ? Ice cream, book buying, lotsa food and scouted out? https://t.co/5jJkN8aXSw'"",51.51445978,-0.12629015";;
