user,date,text,latitude,longitude;;
JLH062314,Sat Aug 10 23:55:48 +0000 2019,b'End of the night #selfie! Dont do many of these coz I hate them but decided to take one and post anyway as didnt ta? https://t.co/ylnOipAumc',51.50711486,-0.12731805;;
TKbrancoo,Sat Aug 10 23:55:29 +0000 2019,b'E.P Will Be Availible on the 20/08/19 Make Sure You check It Out and Let Me Know Your Thoughts #M3MB3RSONLY @ Londo? https://t.co/1ESKaMdf2x',51.50711486,-0.12731805;;
Amr1ta,Sat Aug 10 23:50:54 +0000 2019,b'My jumpsuit is better than yours ?\n\n#rockon #ohyes #outoutout #posing #smilingasalways #saturdayfun? https://t.co/KJtYaNdgyZ',51.50711486,-0.12731805;;
JudeSamuel_,Sat Aug 10 23:46:27 +0000 2019,b'Amazing Grading day. 16 black belts on the mat. 29 belts and an amazing amount of support and technical knowledge o? https://t.co/0se6o2tRM8',51.50711486,-0.12731805;;
KlevaKeys,Sat Aug 10 23:35:02 +0000 2019,b'REVIEW: Amateur At Play::: Out Now. #soulfulhouse #deephouse #afrohouse #classichouse #techhouse #djlife? https://t.co/HnorPuPCkf',51.50711486,-0.12731805;;
KingVvadi,Sat Aug 10 23:34:43 +0000 2019,b'BIG NEWS! SHARE &amp; TAG A FRIEND \n_________________________________\nHealing the Family Tree workshop\nComing to London? https://t.co/ZWK8doQzRX',51.50711486,-0.12731805;
"DnD_Recovery,Sat Aug 10 21:59:41 +0000 2019,""b'#mercedes #diagnose #snapon #theaa #rac #greenflag #hackney #vehiclediagnostics @ London, United Kingdom https://t.co/nzBA5rmoI2'"",51.50711486,-0.12731805";;
"aaykutoren,Sat Aug 10 21:55:43 +0000 2019,""b""""I'm at @RoadhouseLdn in Covent Garden, Greater London https://t.co/RX5HlvZR3o"""""",51.51179196,-0.12226435";;
"gypsy_dance,Sat Aug 10 21:54:09 +0000 2019,""b'????? ?? ????????? ???-?? ???? ?? ???, ????? ?????? ?????????????/When something goes wrong on the rehearsal just t? https://t.co/WePxuyctKR'"",51.50711486,-0.12731805";;
Tonkertim,Sat Aug 10 21:51:50 +0000 2019,b'Supper Refreshment #saturdaynight #londonfood #nightlife #cocktails @ Balans Soho Society https://t.co/z546X6ifPL',51.5129018,-0.1323964;;
"ArnaAlayne,Sat Aug 10 21:45:19 +0000 2019,""b'LUNDUN @ London, United Kingdom https://t.co/bs74H6C44O'"",51.50711486,-0.12731805";;
gizemhelin,Sat Aug 10 21:43:59 +0000 2019,b'Sen bayram ol. Biz kurban olalim. Besiktas ? Herkese mutlu bayramlar... ?\n.\n.\n.\n#bayram #eidmubarak #eid #london? https://t.co/bhrHpbCRe8',51.50711486,-0.12731805;;
KASH__CAM,Sat Aug 10 21:41:36 +0000 2019,b'INTRODUCING A CREATIVE HAMSTRING EXERCISE WITH #pullupmate @PullUp_Mate &amp; A RESISTANCE BAND. Have Fun &amp; Get Those H? https://t.co/HBLp8xDdQZ',51.50711486,-0.12731805
"drsaledyer,Sat Aug 10 21:40:47 +0000 2019,""b'Meal at Tredwells, wander to theatre to watch Aladdin #Tredwells #happybirthdaymum #aladdin #genie? https://t.co/8HBbF30yJH'"",51.50711486,-0.12731805";;
"Jaynaa_x,Sat Aug 10 21:37:27 +0000 2019,""b'So Miss Bajwa is offff??so proud and excited for you, I have no doubt you will smash it??? @ London, United Kingdom https://t.co/BEKXWO1TSD'"",51.50711486,-0.12731805";;
BeatsMyrie,Sat Aug 10 21:34:29 +0000 2019,b'Nice to play on my kit at home today.....?\n.\n.\n#mapexblackpanther #mapexfastback #vatersticks #meinl #meinlcymbals? https://t.co/GkvTgt5z3i',51.50711486,-0.12731805;;
